l.p;Liczba maszyn;Liczba zadañ;Zakres Pj;Optymalny Cmax;NEH;;;FNEH ;;
;;;;;Wynik;Œredni czas;B³¹d wzglêdny;Wynik;Œredni czas;B³¹d wzglêdny
1;5;20;1-100;1278;1286;0.001051;0.006260;1286;0.000121;0.006260
2;5;20;1-100;1359;1365;0.000796;0.004415;1365;0.000122;0.004415
3;5;20;1-100;1081;1140;0.001445;0.054579;1140;0.000204;0.054579
4;5;20;1-100;1293;1325;0.000821;0.024749;1325;0.000116;0.024749
5;5;20;1-100;1235;1305;0.001408;0.056680;1305;0.000207;0.056680
6;5;20;1-100;1195;1228;0.001380;0.027615;1228;0.000204;0.027615
7;5;20;1-100;1239;1279;0.001394;0.032284;1279;0.000201;0.032284
8;5;20;1-100;1206;1223;0.000779;0.014096;1223;0.000117;0.014096
9;5;20;1-100;1230;1291;0.001363;0.049593;1291;0.000203;0.049593
10;5;20;1-100;1108;1151;0.001175;0.038809;1151;0.000118;0.038809
11;10;20;1-100;1582;1680;0.001073;0.061947;1680;0.000164;0.061947
12;10;20;1-100;1659;1786;0.001561;0.076552;1786;0.000167;0.076552
13;10;20;1-100;1496;1557;0.001004;0.040775;1557;0.000170;0.040775
14;10;20;1-100;1377;1439;0.001502;0.045025;1439;0.000175;0.045025
15;10;20;1-100;1419;1502;0.000994;0.058492;1502;0.000174;0.058492
16;10;20;1-100;1397;1453;0.001343;0.040086;1453;0.000261;0.040086
17;10;20;1-100;1484;1562;0.001450;0.052561;1562;0.000183;0.052561
18;10;20;1-100;1538;1609;0.001125;0.046164;1609;0.000179;0.046164
19;10;20;1-100;1593;1647;0.001871;0.033898;1647;0.000175;0.033898
20;10;20;1-100;1591;1653;0.001813;0.038969;1653;0.000266;0.038969
21;20;20;1-100;2297;2410;0.002436;0.049195;2410;0.000268;0.049195
22;20;20;1-100;2099;2150;0.001356;0.024297;2150;0.000267;0.024297
23;20;20;1-100;2326;2411;0.001751;0.036543;2411;0.000472;0.036543
24;20;20;1-100;2223;2262;0.002166;0.017544;2262;0.000254;0.017544
25;20;20;1-100;2291;2397;0.002218;0.046268;2397;0.000266;0.046268
26;20;20;1-100;2226;2349;0.001400;0.055256;2349;0.000278;0.055256
27;20;20;1-100;2273;2362;0.001512;0.039155;2362;0.000255;0.039155
28;20;20;1-100;2200;2249;0.001367;0.022273;2249;0.000257;0.022273
29;20;20;1-100;2237;2306;0.002180;0.030845;2306;0.000333;0.030845
30;20;20;1-100;2178;2277;0.002236;0.045455;2277;0.000301;0.045455
31;5;50;1-100;2724;2733;0.012571;0.003304;2733;0.000639;0.003304
32;5;50;1-100;2836;2843;0.011049;0.002468;2843;0.000735;0.002468
33;5;50;1-100;2621;2625;0.010993;0.001526;2625;0.000611;0.001526
34;5;50;1-100;2751;2783;0.009912;0.011632;2783;0.000651;0.011632
35;5;50;1-100;2863;2868;0.010284;0.001746;2868;0.000668;0.001746
36;5;50;1-100;2829;2838;0.011091;0.003181;2838;0.000687;0.003181
37;5;50;1-100;2725;2752;0.011191;0.009908;2752;0.000616;0.009908
38;5;50;1-100;2683;2694;0.014237;0.004100;2694;0.000879;0.004100
39;5;50;1-100;2554;2574;0.011274;0.007831;2574;0.000638;0.007831
40;5;50;1-100;2782;2792;0.010657;0.003595;2792;0.000943;0.003595
41;10;50;1-100;3037;3168;0.015679;0.043135;3168;0.001320;0.043135
42;10;50;1-100;2911;3021;0.014425;0.037788;3021;0.000895;0.037788
43;10;50;1-100;2871;3036;0.015667;0.057471;3036;0.001088;0.057471
44;10;50;1-100;3067;3194;0.017955;0.041409;3194;0.001099;0.041409
45;10;50;1-100;3011;3159;0.016267;0.049153;3159;0.001037;0.049153
46;10;50;1-100;3021;3178;0.013768;0.051970;3178;0.000912;0.051970
47;10;50;1-100;3124;3277;0.015714;0.048976;3277;0.000988;0.048976
48;10;50;1-100;3048;3193;0.013517;0.047572;3193;0.000906;0.047572
49;10;50;1-100;2910;3015;0.014847;0.036082;3015;0.001030;0.036082
50;10;50;1-100;3100;3257;0.014075;0.050645;3257;0.001023;0.050645
51;20;50;1-100;3886;4024;0.020889;0.035512;4024;0.001706;0.035512
52;20;50;1-100;3733;3921;0.020802;0.050362;3921;0.001849;0.050362
53;20;50;1-100;3673;3890;0.021937;0.059080;3890;0.001695;0.059080
54;20;50;1-100;3755;3987;0.020592;0.061784;3987;0.001686;0.061784
55;20;50;1-100;3648;3835;0.026172;0.051261;3835;0.001869;0.051261
56;20;50;1-100;3719;3920;0.028781;0.054047;3920;0.001889;0.054047
57;20;50;1-100;3730;3952;0.022958;0.059517;3952;0.001516;0.059517
58;20;50;1-100;3737;3930;0.021025;0.051646;3930;0.001536;0.051646
59;20;50;1-100;3772;3952;0.024440;0.047720;3952;0.001888;0.047720
60;20;50;1-100;3791;4079;0.028981;0.075969;4079;0.001654;0.075969
61;5;100;1-100;5493;5519;0.099588;0.004733;5519;0.002774;0.004733
62;5;100;1-100;5274;5284;0.091720;0.001896;5284;0.002393;0.001896
63;5;100;1-100;5175;5209;0.089576;0.006570;5209;0.002493;0.006570
64;5;100;1-100;5018;5023;0.097533;0.000996;5023;0.003942;0.000996
65;5;100;1-100;5250;5261;0.122515;0.002095;5261;0.002929;0.002095
66;5;100;1-100;5135;5139;0.102945;0.000779;5139;0.002517;0.000779
67;5;100;1-100;5247;5256;0.089072;0.001715;5256;0.002312;0.001715
68;5;100;1-100;5094;5126;0.103279;0.006282;5126;0.003528;0.006282
69;5;100;1-100;5448;5489;0.092858;0.007526;5489;0.003641;0.007526
70;5;100;1-100;5328;5342;0.089740;0.002628;5342;0.002348;0.002628
71;10;100;1-100;5776;5881;0.109162;0.018179;5881;0.003656;0.018179
72;10;100;1-100;5362;5447;0.122587;0.015852;5447;0.004366;0.015852
73;10;100;1-100;5679;5768;0.105058;0.015672;5768;0.004201;0.015672
74;10;100;1-100;5820;5989;0.125508;0.029038;5989;0.004666;0.029038
75;10;100;1-100;5491;5673;0.156319;0.033145;5673;0.005135;0.033145
76;10;100;1-100;5303;5420;0.139879;0.022063;5420;0.005387;0.022063
